 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity,ring_depth
454,111.952,14,0.130,19.592,22.116
455,99.240,17,0.141,24.520,411.836
456,121.105,28,0.216,20.292,324.088
457,100.348,21,0.163,18.071,393.774
458,102.470,21,0.113,30.828,261.232
459,107.032,10,0.111,58.643,1.087
460,122.419,30,0.143,21.634,447.482
461,115.735,21,0.150,20.070,461.204
462,82.792,18,0.110,18.250,208.670
463,120.025,8,0.097,21.828,116.408
464,95.053,17,0.138,19.798,436.891
465,103.343,25,0.131,23.556,359.974
466,92.105,15,0.118,19.521,202.260
467,92.528,24,0.119,27.883,267.793
468,88.444,18,0.153,16.498,225.082
469,111.623,25,0.132,23.127,386.979
470,98.377,24,0.142,22.749,423.422
471,108.281,24,0.143,26.715,295.973
472,114.815,25,0.103,27.056,313.989
473,100.601,15,0.103,20.565,462.482
474,109.370,18,0.156,25.738,359.815
475,96.339,16,0.110,23.830,169.361
476,121.640,27,0.115,21.939,257.582
477,115.810,32,0.119,27.000,331.954
478,90.284,26,0.107,32.320,347.942
479,115.106,27,0.110,20.624,278.048
480,149.729,15,0.103,23.983,133.939
481,115.838,29,0.134,27.048,383.985
482,86.407,25,0.112,24.275,346.036
483,136.088,16,0.143,19.899,461.615
484,93.260,12,0.124,17.276,242.119
485,111.942,18,0.152,21.246,423.785
486,96.011,27,0.110,28.096,354.090
487,121.912,25,0.119,20.367,290.026
488,117.969,19,0.123,22.748,451.584
489,108.966,4,0.089,19.311,155.393
490,122.729,20,0.126,21.234,278.869
491,108.262,20,0.122,27.150,330.047
492,131.535,23,0.126,17.792,203.487
493,236.079,18,0.130,21.893,11.761
494,108.976,20,0.122,27.584,403.793
495,98.677,14,0.126,26.175,370.801
496,103.333,14,0.163,15.217,430.251
497,84.351,10,0.133,18.147,66.829
498,92.547,14,0.115,20.611,440.043
499,122.475,22,0.123,21.795,412.829
500,119.593,39,0.116,25.577,354.750
501,149.062,16,0.184,18.618,303.434
502,110.140,23,0.114,25.629,282.287
503,131.685,11,0.094,24.066,163.878
504,106.995,10,0.107,19.703,461.084
505,102.470,19,0.108,22.064,151.346
506,103.512,9,0.180,12.469,112.339
507,106.234,11,0.116,21.353,36.228
508,132.445,12,0.147,18.785,137.376
509,95.372,15,0.101,30.381,389.101
510,81.835,5,0.141,12.025,104.172
511,85.431,4,0.115,15.608,45.711
512,78.784,13,0.108,19.596,247.156
513,91.054,15,0.133,25.171,444.142
514,84.971,5,0.145,13.468,195.534
515,82.736,7,0.118,16.727,228.145
516,77.563,9,0.178,16.051,236.254
517,78.746,10,0.108,18.278,204.025
518,108.027,14,0.230,15.079,278.558
519,77.413,6,0.230,14.871,211.801
520,99.691,4,0.117,18.382,69.916
521,96.264,7,0.117,16.112,182.979
522,76.005,4,0.131,21.850,219.475
