 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity,ring_depth,number_of_empty_rings
417,142.171,14,0.158,23.016,228.884,0
418,88.482,7,0.123,18.891,278.189,0
419,90.453,22,0.126,31.188,372.131,0
420,124.222,9,0.219,15.315,329.835,0
421,105.342,28,0.158,19.699,135.820,0
422,119.481,12,0.210,16.384,183.205,0
423,101.503,31,0.120,35.526,4.383,0
424,146.190,13,0.139,20.874,348.153,0
425,122.842,8,0.108,21.591,185.726,0
426,81.450,19,0.150,23.644,380.088,0
427,106.760,13,0.175,18.590,171.299,0
428,85.177,21,0.118,22.750,374.356,0
429,151.841,27,0.143,21.201,123.274,0
430,156.704,18,0.127,27.245,284.162,0
431,87.421,17,0.171,20.684,363.994,0
432,113.839,18,0.107,22.766,248.445,0
433,137.186,19,0.221,19.327,229.970,0
434,119.687,0,0.000,8.750,195.531,0
435,85.524,11,0.149,17.222,376.790,0
436,113.275,12,0.134,21.097,122.412,0
437,87.346,12,0.161,21.204,328.523,0
438,100.686,27,0.161,31.744,70.786,0
439,118.073,22,0.127,20.023,355.396,0
440,119.875,11,0.119,16.647,140.986,0
441,121.687,10,0.121,15.943,185.222,0
442,159.896,15,0.179,21.339,111.501,0
443,96.245,12,0.114,20.560,275.052,0
444,95.795,14,0.115,18.728,205.258,0
445,128.052,33,0.123,35.011,129.715,0
446,123.104,18,0.113,29.116,330.555,0
447,86.229,12,0.107,25.438,321.247,0
448,94.537,23,0.133,29.115,314.899,0
449,99.954,14,0.131,24.085,345.536,0
450,85.111,28,0.173,23.146,21.214,0
451,126.860,22,0.160,19.121,254.019,0
452,120.091,22,0.130,30.606,151.118,0
453,111.520,9,0.127,22.659,304.878,0
454,91.185,35,0.139,35.557,207.622,0
455,150.132,16,0.190,23.026,337.163,0
456,82.746,15,0.133,19.469,353.619,0
457,116.514,16,0.162,18.223,287.459,0
458,101.315,24,0.106,22.531,168.956,0
459,159.755,13,0.126,16.122,121.248,0
460,96.105,21,0.128,20.653,213.909,0
461,106.638,12,0.146,15.962,205.143,0
